date,venue,style,designer,url,attack_url
2016-07-30,Mason Neck,Beginner,David Onkst,,
2016-06-12,Jug Bay,Chase,Ted Good,,http://www.attackpoint.org/eventdetail.jsp/event_28202
2016-05-22,Fountainhead - West,Classic,Francis Hogle,,
2016-05-15,Quantico - Combat,Classic,Chris Gross,,
2016-05-08,Morven Park,Cowboy,Sam Listwak,,
2016-04-30,Patapsco - Granite,Classic,Jan Merka,,
2016-04-17,Gunston Hall,Classic,Tom Strat,,
2016-04-10,Clopper Lake,Classic,Nadim Ahmed,,
2016-04-03,Manassas,Classic,Vido Aleksiev,,
2016-03-13,Lake Needwood,Classic,Mihai Sirbu,,
2016-03-06,Wheaton,Classic,Russ Damtoft,,
2016-02-28,Prince William - Happyland,Classic,Jon Torrance,https://www.qocweb.org/events/2016/2/28/prince-william-forest-classic-day-event/results,http://www.attackpoint.org/eventdetail.jsp/event_28199
2016-02-27,Prince William - Happyland,Night,Jon Torrance,https://www.qocweb.org/events/2016/2/27/prince-william-forest-nighto/results,http://www.attackpoint.org/eventdetail.jsp/event_28199
2016-02-06,Little Bennett,Bumble,David Onkst,,http://www.attackpoint.org/eventdetail.jsp/event_28194
2016-01-31,Greenbelt,Classic,Sam Listwak,,
2016-01-17,Patapsco - Avalon,Classic,Kim Jepsen,,
2016-01-03,Fountainhead - East,Classic,Jon Campbell,,
2015-12-13,Patapsco - McKeldin,Classic,Patti Mace,,
2015-12-05,Occoquan,Classic,Sidney Sachs,,
2015-11-22,Cabin John,Classic,Amber Tomas,,
2015-11-15,Rosaryville,Classic,Jay Gelman,,
2015-11-08,Hemlock Overlook,Classic,Daniel Heimgartner,,
2015-11-07,Hemlock Overlook,Night,Daniel Heimgartner,,
2015-11-01,Great Falls,Classic,Peggy Dickison,,
2015-10-24,Prince William - Pine Grove,Classic,Tori Campbell,,
2015-10-18,Oregon Ridge,Classic,Ted Good,,
2015-09-27,Patuxent River,Classic,Nadim Ahmed,,
2015-09-13,Fountainhead - Central,Classic,Hannah Culberg,,
2015-08-08,Mason Neck,Beginner,David Onkst,,
2015-07-11,Wheaton,Beginner,David Onkst,,http://www.attackpoint.org/eventdetail.jsp/event_28291
2015-06-07,Jug Bay,Chase,Francis Hogle,,http://www.attackpoint.org/eventdetail.jsp/event_21266
2015-05-31,Mason Neck,Classic,Jon Campbell,,
2015-05-17,Balls Bluff,Classic,Hannah Culberg,,
2015-05-10,Pohick Bay,Classic,Tom Strat,,
2015-04-26,King's Landing,Classic,Ted Good,,
2015-04-19,Greenbelt,Classic,Jay Gelman,,http://www.attackpoint.org/eventdetail.jsp/event_21222
2015-04-12,Lake Needwood,Classic,Kathleen Lennon,,
2015-04-04,Manassas,Classic,Daniel Heimgartner,,
2015-03-14,Wheaton,Classic,Mihai Sirbu,,
2015-03-08,Patapsco - Catonsville,Classic,Kim Jepsen,,
2015-02-14,Prince William - Happyland,Night,Jon Torrance,,http://www.attackpoint.org/eventdetail.jsp/event_21220
2015-02-07,Morven Park,Bumble,David Onkst,,http://www.attackpoint.org/eventdetail.jsp/event_21219
2015-01-25,Little Bennett,Classic,Sam Listwak,,
2015-01-18,Patapsco - McKeldin,Classic,Jon Torrance,,
2015-01-11,Quantico - Combat,Classic,John Baker,,
2014-12-13,Patapsco - Granite,Classic,Peggy Dickison,,
2014-12-07,Prince William - Pine Grove,Classic,Vido Aleksiev,,
2014-11-22,Cabin John,Classic,Boris Granovskiy,,
2014-11-02,Great Falls,Classic,Sam Listwak,,
2014-09-27,Swanson Road,Classic,Craig Shelden,,
2014-09-21,Lake Accotink,Classic,Gary Smith,,
2014-09-14,Clopper Lake,Classic,Nadim Ahmed,,
2014-09-07,Occoquan,Classic,Sidney Sachs,,
2014-06-01,Jug Bay,Chase,Nadim Ahmed,,
2014-05-18,Hemlock Overlook,Classic,Jon Torrance,,
2014-05-11,Patapsco - McKeldin,Classic,Dan Quinn,,http://www.attackpoint.org/eventdetail.jsp/event_17338
2014-05-04,Mason Neck,Classic,Gary Smith,,
2014-04-13,Rosaryville,Classic,Ken Walker Jr,,
2014-04-05,Pohick Bay,Classic,Sidney Sachs,,
2014-03-30,Patapsco - Catonsville,Classic,Ted Good,,
2014-03-16,Prince William - Williams,Classic,Francis Hogle,,
2014-03-09,Little Bennett,Classic,Mihai Sirbu,,
2014-03-08,Little Bennett,Night,Mihai Sirbu,,
2014-03-02,Patapsco - Avalon,Classic,Mike Stasiowski,,
2014-02-22,Cabin John,Classic,Russ Damtoft,,
2014-02-09,Manassas,Classic,Tom Strat,,
2014-02-01,Greenbelt,Bumble,David Onkst,,
2014-01-26,Quantico - Combat,Classic,Bob Turbyfill,,
2014-01-11,Patapsco - Granite,Classic,Kim Jepsen,,
2014-01-05,Patuxent River,Classic,Patti Mace,,
2013-12-15,Wheaton,Classic,Jon Torrance,,
2013-11-24,Great Falls,Classic,Sam Listwak,,
2013-11-03,Morven Park,Classic,Sam Listwak,https://www.qocweb.org/events/2013/11/3/morven-park/results,
2013-10-27,Prince William - Pine Grove,Classic,Amber Tomas,,
2013-10-06,Oregon Ridge,Stumble,Francis Hogle,,
2013-09-22,Lake Accotink,Classic,Victor Lin,,
2013-09-15,Lake Needwood,Classic,Peggy Dickison,,
2013-09-08,Mason Neck,Beginner,David Onkst,,
2013-09-01,Wheaton,Beginner,David Onkst,,
2013-06-02,Jug Bay,Chase,Ted Good,,http://www.attackpoint.org/eventdetail.jsp/event_11280
2013-05-19,Mason Neck,Classic,Bjorn Skjaevestad,,http://www.attackpoint.org/eventdetail.jsp/event_11279
2013-05-05,Pohick Bay,Classic,Amber Tomas,,http://www.attackpoint.org/eventdetail.jsp/event_11289
2013-05-04,Morven Park,Night,Kathleen Lennon,,http://www.attackpoint.org/eventdetail.jsp/event_13292
2013-04-28,Patapsco - Rockburn,Classic,Tom Nolan,,http://www.attackpoint.org/eventdetail.jsp/event_11284
2013-04-20,Rosaryville,Classic,Mark Mace,,http://www.attackpoint.org/eventdetail.jsp/event_11275
2013-04-14,Quantico - Combat,Classic,Don Davis,,
2013-04-07,Cabin John,Classic,Peggy Dickison,,
2013-03-23,Little Bennett,Classic,Sam Listwak,,
2013-03-17,Manassas,Classic,Tom Strat,,
2013-03-09,Patapsco - Granite,Classic,Jan Merka,,
2013-02-24,Prince William - Pine Grove,Classic,Karla Hulett,,
2013-02-10,Occoquan,Classic,Jon Torrance,,
2013-02-02,Wheaton,Bumble,David Onkst,,
2013-01-20,Greenbelt,Classic,Russ Damtoft,,
2013-01-13,Fountainhead - East,Classic,Victor Lin,,
2013-01-06,Patapsco - McKeldin,Classic,Mark Mace,,
2012-12-16,Oregon Ridge,Classic,Tom Nolan,,
2012-12-08,Prince William - Happyland,Classic,Linda Ferguson,,
2012-11-18,Great Falls,Classic,Sam Listwak,,
2012-11-04,Patuxent River,Classic,Francis Hogle,,
2012-10-28,Hemlock Overlook,Classic,Gary Smith,,
2012-10-14,Swanson Road,Classic,Dan Quinn,,
2012-09-30,Meadowood,Classic,Sidney Sachs,,
2012-09-23,Lake Needwood,Classic,Nadim Ahmed,,
2012-09-15,Lake Accotink,Classic,Jon Torrance,,
2012-08-18,Wheaton,Beginner,David Onkst,,
2012-06-03,Jug Bay,Chase,Francis Hogle,,
2012-05-20,Patapsco - Glen Artney,Classic,Ted Good,,
2012-05-12,Balls Bluff,Classic,Don Davis,,
2012-04-28,Rosaryville,Classic,Patti Mace,https://www.qocweb.org/events/2012/4/28/rosaryville/results,
2012-04-22,Mason Neck,Classic,Tom Strat,,
2012-03-31,Fountainhead - Central,Classic,Dave Hauver,,
2012-03-25,Little Bennett,Classic,Sam Listwak,,
2012-03-24,Little Bennett,Night,Sam Listwak,,
2012-03-03,Patuxent River,Classic,Peggy Dickison,,
2012-02-26,Pohick Bay,Classic,Karla Hulett,,
2012-02-12,Greenbelt,Classic,Tom Nolan,,
2012-01-29,Prince William - Pine Grove,Classic,Martin Farenfield,,
2012-01-08,Patapsco - McKeldin,Classic,Mark Mace,,
